,title,vol,update,number,date
0,星光王子 KING OF PRISM -Shiny Seven Stars-,12,07/02,59909,2019/07/02 18:00:27
1,進擊的巨人 第三季,22,07/01,6742998,2019/07/02 18:00:27
2,八月的棒球甜心,11,07/01,194681,2019/07/02 18:00:27
3,FAIRY TAIL 魔導少年 最終章,315,06/30,2927358,2019/07/02 18:00:27
4,一弦定音！,13,06/30,512656,2019/07/02 18:00:27
5,我們真的學不來！,13,06/30,1117716,2019/07/02 18:00:27
6,鬼滅之刃,13,06/30,3294492,2019/07/02 18:00:27
7,MIX,13,06/29,204011,2019/07/02 18:00:27
8,JOJO 的奇妙冒險 黃金之風,36,06/29,6603056,2019/07/02 18:00:27
9,魔法水果籃,12,06/29,291023,2019/07/02 18:00:27
10,Fight League 交鋒聯盟,20,06/27,127157,2019/07/02 18:00:27
11,一拳超人 (第二季),23,06/26,5095161,2019/07/02 18:00:27
12,強襲魔女 501 部隊出動！,12,06/26,147846,2019/07/02 18:00:27
13,鑽石王牌 act2,13,06/25,637688,2019/07/02 18:00:27
14,劇場版 夏目友人帳～緣結空蟬～,電影1,06/25,40614,2019/07/02 18:00:27
15,為什麼老師會在這裡！？,12,06/24,1427037,2019/07/02 18:00:27
16,信長老師的年幼妻子,12,06/22,1061735,2019/07/02 18:00:27
17,高中女生,12,06/22,336724,2019/07/02 18:00:27
18,超可動女孩 1/6,12,06/22,193423,2019/07/02 18:00:27
19,一個人的○○小日子,12,06/22,631562,2019/07/02 18:00:27
20,滿腦都是○○的我沒辦法談戀愛,12,06/22,1357801,2019/07/02 18:00:27
21,川柳少女,12,06/22,580583,2019/07/02 18:00:27
22,戀愛幕末男友外傳-危機,12,06/21,25588,2019/07/02 18:00:27
