,title,vol,update,number,date
0,鑽石王牌 act2,9,05/28,364231,2019/05/28 22:00:19
1,星光王子 KING OF PRISM -Shiny Seven Stars-,7,05/28,27814,2019/05/28 22:00:19
2,進擊的巨人 第三季,17,05/27,4887086,2019/05/28 22:00:19
3,為什麼老師會在這裡！？,8,05/27,926835,2019/05/28 22:00:19
4,FAIRY TAIL 魔導少年 最終章,310,05/26,2538202,2019/05/28 22:00:19
5,一弦定音！,8,05/26,285729,2019/05/28 22:00:19
6,我們真的學不來！,8,05/26,629300,2019/05/28 22:00:19
7,鬼滅之刃,8,05/26,1685723,2019/05/28 22:00:19
8,信長老師的年幼妻子,8,05/25,655578,2019/05/28 22:00:19
9,高中女生,8,05/25,254091,2019/05/28 22:00:19
10,超可動女孩 1/6,8,05/25,133602,2019/05/28 22:00:19
11,MIX,8,05/25,122913,2019/05/28 22:00:19
12,一個人的○○小日子,8,05/25,403627,2019/05/28 22:00:19
13,滿腦都是○○的我沒辦法談戀愛,8,05/25,813763,2019/05/28 22:00:19
14,川柳少女,8,05/25,363999,2019/05/28 22:00:19
15,JOJO 的奇妙冒險 黃金之風,31,05/25,5593101,2019/05/28 22:00:19
16,魔法水果籃,7,05/25,145622,2019/05/28 22:00:19
17,戀愛幕末男友外傳-危機,8,05/24,16975,2019/05/28 22:00:19
18,Fight League 交鋒聯盟,15,05/23,91995,2019/05/28 22:00:19
19,一拳超人 (第二季),19,05/22,3029344,2019/05/28 22:00:19
20,強襲魔女 501 部隊出動！,7,05/22,86064,2019/05/28 22:00:19
21,八月的棒球甜心,7,05/20,145994,2019/05/28 22:00:19
