,title,vol,update,number,date
0,強襲魔女 501 部隊出動！,3,04/24,31186,2019/04/24 01:00:20
1,鑽石王牌 act2,4,04/23,117272,2019/04/24 01:00:20
2,星光王子 KING OF PRISM -Shiny Seven Stars-,2,04/23,4411,2019/04/24 01:00:20
3,八月的棒球甜心,3,04/22,67140,2019/04/24 01:00:20
4,為什麼老師會在這裡！？,3,04/22,329987,2019/04/24 01:00:20
5,FAIRY TAIL 魔導少年 最終章,305,04/21,2143081,2019/04/24 01:00:20
6,一弦定音！,3,04/21,87313,2019/04/24 01:00:20
7,我們真的學不來！,3,04/21,220250,2019/04/24 01:00:20
8,鬼滅之刃,3,04/21,450006,2019/04/24 01:00:20
9,信長老師的年幼妻子,3,04/20,192990,2019/04/24 01:00:20
10,高中女生,3,04/20,123916,2019/04/24 01:00:20
11,超可動女孩 1/6,3,04/20,51148,2019/04/24 01:00:20
12,MIX,3,04/20,44408,2019/04/24 01:00:20
13,一個人的○○小日子,3,04/20,149349,2019/04/24 01:00:20
14,滿腦都是○○的我沒辦法談戀愛,3,04/20,298821,2019/04/24 01:00:20
15,川柳少女,3,04/20,127682,2019/04/24 01:00:20
16,JOJO 的奇妙冒險 黃金之風,27,04/20,4720705,2019/04/24 01:00:20
17,魔法水果籃,2,04/20,31448,2019/04/24 01:00:20
18,戀愛幕末男友外傳-危機,3,04/19,5697,2019/04/24 01:00:20
19,Fight League 交鋒聯盟,10,04/18,66678,2019/04/24 01:00:20
20,一拳超人 (第二季),14,04/17,786262,2019/04/24 01:00:20
