,title,vol,update,number,date
0,進擊的巨人 第三季,18,06/03,5132126,2019/06/04 10:00:27
1,為什麼老師會在這裡！？,9,06/03,1003822,2019/06/04 10:00:27
2,FAIRY TAIL 魔導少年 最終章,311,06/02,2612030,2019/06/04 10:00:27
3,一弦定音！,9,06/02,324898,2019/06/04 10:00:27
4,我們真的學不來！,9,06/02,707735,2019/06/04 10:00:27
5,鬼滅之刃,9,06/02,1941780,2019/06/04 10:00:27
6,信長老師的年幼妻子,9,06/01,733516,2019/06/04 10:00:27
7,高中女生,9,06/01,272879,2019/06/04 10:00:27
8,超可動女孩 1/6,9,06/01,145830,2019/06/04 10:00:27
9,MIX,9,06/01,138199,2019/06/04 10:00:27
10,一個人的○○小日子,9,06/01,449603,2019/06/04 10:00:27
11,滿腦都是○○的我沒辦法談戀愛,9,06/01,932910,2019/06/04 10:00:27
12,川柳少女,9,06/01,409117,2019/06/04 10:00:27
13,JOJO 的奇妙冒險 黃金之風,32,06/01,5766616,2019/06/04 10:00:27
14,魔法水果籃,8,06/01,169458,2019/06/04 10:00:27
15,戀愛幕末男友外傳-危機,9,05/31,18427,2019/06/04 10:00:27
16,Fight League 交鋒聯盟,16,05/30,95782,2019/06/04 10:00:27
17,一拳超人 (第二季),20,05/29,3508947,2019/06/04 10:00:27
18,強襲魔女 501 部隊出動！,8,05/29,96715,2019/06/04 10:00:27
19,鑽石王牌 act2,9,05/28,415028,2019/06/04 10:00:27
20,星光王子 KING OF PRISM -Shiny Seven Stars-,7,05/28,32854,2019/06/04 10:00:27
21,八月的棒球甜心,7,05/20,149026,2019/06/04 10:00:27
