,title,vol,update,number,date
0,一個人的○○小日子,11,06/15,520237,2019/06/15 03:00:23
1,滿腦都是○○的我沒辦法談戀愛,11,06/15,1123527,2019/06/15 03:00:23
2,川柳少女,11,06/15,473114,2019/06/15 03:00:23
3,JOJO 的奇妙冒險 黃金之風,34,06/15,6065643,2019/06/15 03:00:23
4,戀愛幕末男友外傳-危機,11,06/14,21269,2019/06/15 03:00:23
5,Fight League 交鋒聯盟,18,06/13,106538,2019/06/15 03:00:23
6,一拳超人 (第二季),21,06/12,4102082,2019/06/15 03:00:23
7,強襲魔女 501 部隊出動！,10,06/12,118279,2019/06/15 03:00:23
8,鑽石王牌 act2,11,06/11,513513,2019/06/15 03:00:23
9,星光王子 KING OF PRISM -Shiny Seven Stars-,9,06/11,42554,2019/06/15 03:00:23
10,八月的棒球甜心,8,06/10,162618,2019/06/15 03:00:23
11,進擊的巨人 第三季,19,06/10,5832122,2019/06/15 03:00:23
12,為什麼老師會在這裡！？,10,06/10,1193018,2019/06/15 03:00:23
13,FAIRY TAIL 魔導少年 最終章,312,06/09,2727171,2019/06/15 03:00:23
14,一弦定音！,10,06/09,389163,2019/06/15 03:00:23
15,我們真的學不來！,10,06/09,858828,2019/06/15 03:00:23
16,鬼滅之刃,10,06/09,2420383,2019/06/15 03:00:23
17,信長老師的年幼妻子,10,06/08,860700,2019/06/15 03:00:23
18,高中女生,10,06/08,295614,2019/06/15 03:00:23
19,超可動女孩 1/6,10,06/08,163365,2019/06/15 03:00:23
20,MIX,10,06/08,160866,2019/06/15 03:00:23
21,魔法水果籃,9,06/08,215768,2019/06/15 03:00:23
