,title,vol,update,number,date
0,八月的棒球甜心,4,04/29,78885,2019/04/29 14:00:38
1,進擊的巨人 第三季,13,04/29,3504376,2019/04/29 14:00:38
2,為什麼老師會在這裡！？,4,04/29,398603,2019/04/29 14:00:38
3,FAIRY TAIL 魔導少年 最終章,306,04/28,2166110,2019/04/29 14:00:38
4,一弦定音！,4,04/28,99829,2019/04/29 14:00:38
5,我們真的學不來！,4,04/28,244620,2019/04/29 14:00:38
6,鬼滅之刃,4,04/28,513682,2019/04/29 14:00:38
7,信長老師的年幼妻子,4,04/27,220884,2019/04/29 14:00:38
8,高中女生,4,04/27,138074,2019/04/29 14:00:38
9,超可動女孩 1/6,4,04/27,56862,2019/04/29 14:00:38
10,MIX,4,04/27,52220,2019/04/29 14:00:38
11,一個人的○○小日子,4,04/27,183025,2019/04/29 14:00:38
12,滿腦都是○○的我沒辦法談戀愛,4,04/27,363375,2019/04/29 14:00:38
13,川柳少女,4,04/27,157978,2019/04/29 14:00:38
14,JOJO 的奇妙冒險 黃金之風,28,04/27,4861494,2019/04/29 14:00:38
15,魔法水果籃,3,04/27,44501,2019/04/29 14:00:38
16,戀愛幕末男友外傳-危機,4,04/26,7259,2019/04/29 14:00:38
17,Fight League 交鋒聯盟,11,04/25,70051,2019/04/29 14:00:38
18,一拳超人 (第二季),15,04/24,1121296,2019/04/29 14:00:38
19,強襲魔女 501 部隊出動！,3,04/24,40595,2019/04/29 14:00:38
20,鑽石王牌 act2,4,04/23,156071,2019/04/29 14:00:38
21,星光王子 KING OF PRISM -Shiny Seven Stars-,2,04/23,8944,2019/04/29 14:00:38
