,title,vol,update,number,date
0,MIX,5,05/04,62375,2019/05/04 20:00:09
1,一個人的○○小日子,5,05/04,210863,2019/05/04 20:00:09
2,滿腦都是○○的我沒辦法談戀愛,5,05/04,419121,2019/05/04 20:00:09
3,川柳少女,5,05/04,182722,2019/05/04 20:00:09
4,JOJO 的奇妙冒險 黃金之風,28.5,05/04,4962157,2019/05/04 20:00:09
5,魔法水果籃,4,05/04,56135,2019/05/04 20:00:09
6,戀愛幕末男友外傳-危機,5,05/03,9728,2019/05/04 20:00:09
7,Fight League 交鋒聯盟,12,05/02,73419,2019/05/04 20:00:09
8,一拳超人 (第二季),16,05/01,1543162,2019/05/04 20:00:09
9,強襲魔女 501 部隊出動！,4,05/01,50068,2019/05/04 20:00:09
10,鑽石王牌 act2,5,04/30,198158,2019/05/04 20:00:09
11,星光王子 KING OF PRISM -Shiny Seven Stars-,3,04/30,13538,2019/05/04 20:00:09
12,八月的棒球甜心,4,04/29,98349,2019/05/04 20:00:09
13,進擊的巨人 第三季,13,04/29,3760150,2019/05/04 20:00:09
14,為什麼老師會在這裡！？,4,04/29,512126,2019/05/04 20:00:09
15,FAIRY TAIL 魔導少年 最終章,306,04/28,2237182,2019/05/04 20:00:09
16,一弦定音！,4,04/28,135778,2019/05/04 20:00:09
17,我們真的學不來！,4,04/28,327698,2019/05/04 20:00:09
18,鬼滅之刃,4,04/28,720046,2019/05/04 20:00:09
19,信長老師的年幼妻子,4,04/27,337654,2019/05/04 20:00:09
20,高中女生,4,04/27,166698,2019/05/04 20:00:09
21,超可動女孩 1/6,4,04/27,71859,2019/05/04 20:00:09
