,title,vol,update,number,date
0,魔法水果籃,9,06/08,179596,2019/06/08 12:00:21
1,一個人的○○小日子,10,06/08,468061,2019/06/08 12:00:21
2,滿腦都是○○的我沒辦法談戀愛,10,06/08,1011800,2019/06/08 12:00:21
3,川柳少女,10,06/08,424280,2019/06/08 12:00:21
4,JOJO 的奇妙冒險 黃金之風,33,06/08,5821517,2019/06/08 12:00:21
5,戀愛幕末男友外傳-危機,10,06/07,18948,2019/06/08 12:00:21
6,Fight League 交鋒聯盟,17,06/06,98318,2019/06/08 12:00:21
7,強襲魔女 501 部隊出動！,9,06/05,105946,2019/06/08 12:00:21
8,鑽石王牌 act2,10,06/04,456888,2019/06/08 12:00:21
9,星光王子 KING OF PRISM -Shiny Seven Stars-,8,06/04,36874,2019/06/08 12:00:21
10,進擊的巨人 第三季,18,06/03,5428891,2019/06/08 12:00:21
11,為什麼老師會在這裡！？,9,06/03,1079356,2019/06/08 12:00:21
12,FAIRY TAIL 魔導少年 最終章,311,06/02,2644681,2019/06/08 12:00:21
13,一弦定音！,9,06/02,346310,2019/06/08 12:00:21
14,我們真的學不來！,9,06/02,754888,2019/06/08 12:00:21
15,鬼滅之刃,9,06/02,2061234,2019/06/08 12:00:21
16,信長老師的年幼妻子,9,06/01,769998,2019/06/08 12:00:21
17,高中女生,9,06/01,278576,2019/06/08 12:00:21
18,超可動女孩 1/6,9,06/01,150781,2019/06/08 12:00:21
19,MIX,9,06/01,144071,2019/06/08 12:00:21
20,一拳超人 (第二季),20,05/29,3640896,2019/06/08 12:00:21
21,八月的棒球甜心,7,05/20,150811,2019/06/08 12:00:21
