,title,vol,update,number,date
0,鬼滅之刃,11,06/16,2439935,2019/06/16 01:00:12
1,信長老師的年幼妻子,11,06/15,866497,2019/06/16 01:00:12
2,高中女生,11,06/15,296539,2019/06/16 01:00:12
3,超可動女孩 1/6,11,06/15,163949,2019/06/16 01:00:12
4,MIX,11,06/15,161688,2019/06/16 01:00:12
5,魔法水果籃,10,06/15,218034,2019/06/16 01:00:12
6,一個人的○○小日子,11,06/15,523246,2019/06/16 01:00:12
7,滿腦都是○○的我沒辦法談戀愛,11,06/15,1130537,2019/06/16 01:00:12
8,川柳少女,11,06/15,475530,2019/06/16 01:00:12
9,JOJO 的奇妙冒險 黃金之風,34,06/15,6078833,2019/06/16 01:00:12
10,戀愛幕末男友外傳-危機,11,06/14,21973,2019/06/16 01:00:12
11,Fight League 交鋒聯盟,18,06/13,108631,2019/06/16 01:00:12
12,一拳超人 (第二季),21,06/12,4143999,2019/06/16 01:00:12
13,強襲魔女 501 部隊出動！,10,06/12,119666,2019/06/16 01:00:12
14,鑽石王牌 act2,11,06/11,518001,2019/06/16 01:00:12
15,星光王子 KING OF PRISM -Shiny Seven Stars-,9,06/11,42979,2019/06/16 01:00:12
16,八月的棒球甜心,8,06/10,163480,2019/06/16 01:00:12
17,進擊的巨人 第三季,19,06/10,5859741,2019/06/16 01:00:12
18,為什麼老師會在這裡！？,10,06/10,1201959,2019/06/16 01:00:12
19,FAIRY TAIL 魔導少年 最終章,312,06/09,2731191,2019/06/16 01:00:12
20,一弦定音！,10,06/09,391670,2019/06/16 01:00:12
21,我們真的學不來！,10,06/09,865171,2019/06/16 01:00:12
