,title,vol,update,number,date
0,進擊的巨人 第三季,17,05/27,4728603,2019/05/28 01:00:08
1,為什麼老師會在這裡！？,8,05/27,879689,2019/05/28 01:00:08
2,FAIRY TAIL 魔導少年 最終章,310,05/26,2524452,2019/05/28 01:00:08
3,一弦定音！,8,05/26,277941,2019/05/28 01:00:08
4,我們真的學不來！,8,05/26,616840,2019/05/28 01:00:08
5,鬼滅之刃,8,05/26,1643131,2019/05/28 01:00:08
6,信長老師的年幼妻子,8,05/25,637997,2019/05/28 01:00:08
7,高中女生,8,05/25,249961,2019/05/28 01:00:08
8,超可動女孩 1/6,8,05/25,131346,2019/05/28 01:00:08
9,MIX,8,05/25,120802,2019/05/28 01:00:08
10,一個人的○○小日子,8,05/25,398543,2019/05/28 01:00:08
11,滿腦都是○○的我沒辦法談戀愛,8,05/25,803371,2019/05/28 01:00:08
12,川柳少女,8,05/25,357858,2019/05/28 01:00:08
13,JOJO 的奇妙冒險 黃金之風,31,05/25,5573397,2019/05/28 01:00:08
14,魔法水果籃,7,05/25,142607,2019/05/28 01:00:08
15,戀愛幕末男友外傳-危機,8,05/24,16831,2019/05/28 01:00:08
16,Fight League 交鋒聯盟,15,05/23,91520,2019/05/28 01:00:08
17,一拳超人 (第二季),19,05/22,3003047,2019/05/28 01:00:08
18,強襲魔女 501 部隊出動！,7,05/22,85503,2019/05/28 01:00:08
19,鑽石王牌 act2,8,05/21,361855,2019/05/28 01:00:08
20,星光王子 KING OF PRISM -Shiny Seven Stars-,6,05/21,27564,2019/05/28 01:00:08
21,八月的棒球甜心,7,05/20,145432,2019/05/28 01:00:08
