,title,vol,update,number,date
0,進擊的巨人 第三季,16,05/20,4390798,2019/05/21 01:00:16
1,八月的棒球甜心,7,05/20,131716,2019/05/21 01:00:16
2,為什麼老師會在這裡！？,7,05/20,753699,2019/05/21 01:00:16
3,FAIRY TAIL 魔導少年 最終章,309,05/19,2432529,2019/05/21 01:00:16
4,一弦定音！,7,05/19,235331,2019/05/21 01:00:16
5,我們真的學不來！,7,05/19,532107,2019/05/21 01:00:16
6,鬼滅之刃,7,05/19,1363885,2019/05/21 01:00:16
7,信長老師的年幼妻子,7,05/18,548701,2019/05/21 01:00:16
8,高中女生,7,05/18,227377,2019/05/21 01:00:16
9,超可動女孩 1/6,7,05/18,115779,2019/05/21 01:00:16
10,MIX,7,05/18,103587,2019/05/21 01:00:16
11,一個人的○○小日子,7,05/18,347375,2019/05/21 01:00:16
12,滿腦都是○○的我沒辦法談戀愛,7,05/18,699267,2019/05/21 01:00:16
13,川柳少女,7,05/18,304010,2019/05/21 01:00:16
14,JOJO 的奇妙冒險 黃金之風,30,05/18,5365495,2019/05/21 01:00:16
15,魔法水果籃,6,05/18,115844,2019/05/21 01:00:16
16,戀愛幕末男友外傳-危機,7,05/17,14369,2019/05/21 01:00:16
17,Fight League 交鋒聯盟,14,05/16,83383,2019/05/21 01:00:16
18,一拳超人 (第二季),18,05/15,2475843,2019/05/21 01:00:16
19,強襲魔女 501 部隊出動！,6,05/15,74310,2019/05/21 01:00:16
20,鑽石王牌 act2,7,05/14,305141,2019/05/21 01:00:16
21,星光王子 KING OF PRISM -Shiny Seven Stars-,5,05/14,22968,2019/05/21 01:00:16
