,title,vol,update,number,date
0,星光王子 KING OF PRISM -Shiny Seven Stars-,2,04/23,4215,2019/04/23 12:00:23
1,八月的棒球甜心,3,04/22,55755,2019/04/23 12:00:23
2,為什麼老師會在這裡！？,3,04/22,274913,2019/04/23 12:00:23
3,FAIRY TAIL 魔導少年 最終章,305,04/21,2131178,2019/04/23 12:00:23
4,一弦定音！,3,04/21,81304,2019/04/23 12:00:23
5,我們真的學不來！,3,04/21,206763,2019/04/23 12:00:23
6,鬼滅之刃,3,04/21,420557,2019/04/23 12:00:23
7,信長老師的年幼妻子,3,04/20,181256,2019/04/23 12:00:23
8,高中女生,3,04/20,119000,2019/04/23 12:00:23
9,超可動女孩 1/6,3,04/20,48686,2019/04/23 12:00:23
10,MIX,3,04/20,42318,2019/04/23 12:00:23
11,一個人的○○小日子,3,04/20,144475,2019/04/23 12:00:23
12,滿腦都是○○的我沒辦法談戀愛,3,04/20,288953,2019/04/23 12:00:23
13,川柳少女,3,04/20,123163,2019/04/23 12:00:23
14,JOJO 的奇妙冒險 黃金之風,27,04/20,4702028,2019/04/23 12:00:23
15,魔法水果籃,2,04/20,29431,2019/04/23 12:00:23
16,戀愛幕末男友外傳-危機,3,04/19,5575,2019/04/23 12:00:23
17,Fight League 交鋒聯盟,10,04/18,66371,2019/04/23 12:00:23
18,一拳超人 (第二季),14,04/17,770106,2019/04/23 12:00:23
19,強襲魔女 501 部隊出動！,2,04/17,30616,2019/04/23 12:00:23
20,鑽石王牌 act2,3,04/16,114966,2019/04/23 12:00:23
