,title,vol,update,number,date
0,星光王子 KING OF PRISM -Shiny Seven Stars-,3,04/30,9341,2019/04/30 14:00:26
1,八月的棒球甜心,4,04/29,80250,2019/04/30 14:00:26
2,進擊的巨人 第三季,13,04/29,3516672,2019/04/30 14:00:26
3,為什麼老師會在這裡！？,4,04/29,409693,2019/04/30 14:00:26
4,FAIRY TAIL 魔導少年 最終章,306,04/28,2206899,2019/04/30 14:00:26
5,一弦定音！,4,04/28,117500,2019/04/30 14:00:26
6,我們真的學不來！,4,04/28,290498,2019/04/30 14:00:26
7,鬼滅之刃,4,04/28,622207,2019/04/30 14:00:26
8,信長老師的年幼妻子,4,04/27,275169,2019/04/30 14:00:26
9,高中女生,4,04/27,153182,2019/04/30 14:00:26
10,超可動女孩 1/6,4,04/27,65013,2019/04/30 14:00:26
11,MIX,4,04/27,56877,2019/04/30 14:00:26
12,一個人的○○小日子,4,04/27,194139,2019/04/30 14:00:26
13,滿腦都是○○的我沒辦法談戀愛,4,04/27,385303,2019/04/30 14:00:26
14,川柳少女,4,04/27,167386,2019/04/30 14:00:26
15,JOJO 的奇妙冒險 黃金之風,28,04/27,4898041,2019/04/30 14:00:26
16,魔法水果籃,3,04/27,48619,2019/04/30 14:00:26
17,戀愛幕末男友外傳-危機,4,04/26,7479,2019/04/30 14:00:26
18,Fight League 交鋒聯盟,11,04/25,70491,2019/04/30 14:00:26
19,一拳超人 (第二季),15,04/24,1161701,2019/04/30 14:00:26
20,強襲魔女 501 部隊出動！,3,04/24,41395,2019/04/30 14:00:26
21,鑽石王牌 act2,4,04/23,159409,2019/04/30 14:00:26
