,title,vol,update,number,date
0,FAIRY TAIL 魔導少年 最終章,310,05/26,2473014,2019/05/26 15:00:29
1,一弦定音！,8,05/26,255034,2019/05/26 15:00:29
2,我們真的學不來！,8,05/26,571194,2019/05/26 15:00:29
3,鬼滅之刃,8,05/26,1488836,2019/05/26 15:00:29
4,信長老師的年幼妻子,8,05/25,585846,2019/05/26 15:00:29
5,高中女生,8,05/25,235929,2019/05/26 15:00:29
6,超可動女孩 1/6,8,05/25,122685,2019/05/26 15:00:29
7,MIX,8,05/25,110077,2019/05/26 15:00:29
8,一個人的○○小日子,8,05/25,368247,2019/05/26 15:00:29
9,滿腦都是○○的我沒辦法談戀愛,8,05/25,742532,2019/05/26 15:00:29
10,川柳少女,8,05/25,321421,2019/05/26 15:00:29
11,JOJO 的奇妙冒險 黃金之風,31,05/25,5437488,2019/05/26 15:00:29
12,魔法水果籃,7,05/25,128155,2019/05/26 15:00:29
13,戀愛幕末男友外傳-危機,8,05/24,16343,2019/05/26 15:00:29
14,Fight League 交鋒聯盟,15,05/23,89423,2019/05/26 15:00:29
15,一拳超人 (第二季),19,05/22,2905626,2019/05/26 15:00:29
16,強襲魔女 501 部隊出動！,7,05/22,83762,2019/05/26 15:00:29
17,鑽石王牌 act2,8,05/21,352673,2019/05/26 15:00:29
18,星光王子 KING OF PRISM -Shiny Seven Stars-,6,05/21,26713,2019/05/26 15:00:29
19,進擊的巨人 第三季,16,05/20,4673196,2019/05/26 15:00:29
20,八月的棒球甜心,7,05/20,143904,2019/05/26 15:00:29
21,為什麼老師會在這裡！？,7,05/20,858183,2019/05/26 15:00:29
