,title,vol,update,number,date
0,一拳超人 (第二季),22,06/19,4230041,2019/06/19 14:00:10
1,強襲魔女 501 部隊出動！,11,06/19,122319,2019/06/19 14:00:10
2,鑽石王牌 act2,12,06/18,527755,2019/06/19 14:00:10
3,星光王子 KING OF PRISM -Shiny Seven Stars-,10,06/18,44332,2019/06/19 14:00:10
4,進擊的巨人 第三季,20,06/17,6065165,2019/06/19 14:00:10
5,八月的棒球甜心,9,06/17,169945,2019/06/19 14:00:10
6,為什麼老師會在這裡！？,11,06/17,1260198,2019/06/19 14:00:10
7,FAIRY TAIL 魔導少年 最終章,313,06/16,2786023,2019/06/19 14:00:10
8,一弦定音！,11,06/16,422751,2019/06/19 14:00:10
9,我們真的學不來！,11,06/16,941948,2019/06/19 14:00:10
10,鬼滅之刃,11,06/16,2649713,2019/06/19 14:00:10
11,信長老師的年幼妻子,11,06/15,927142,2019/06/19 14:00:10
12,高中女生,11,06/15,308884,2019/06/19 14:00:10
13,超可動女孩 1/6,11,06/15,173368,2019/06/19 14:00:10
14,MIX,11,06/15,173764,2019/06/19 14:00:10
15,魔法水果籃,10,06/15,236688,2019/06/19 14:00:10
16,一個人的○○小日子,11,06/15,556754,2019/06/19 14:00:10
17,滿腦都是○○的我沒辦法談戀愛,11,06/15,1200764,2019/06/19 14:00:10
18,川柳少女,11,06/15,505709,2019/06/19 14:00:10
19,JOJO 的奇妙冒險 黃金之風,34,06/15,6247983,2019/06/19 14:00:10
20,戀愛幕末男友外傳-危機,11,06/14,22697,2019/06/19 14:00:10
21,Fight League 交鋒聯盟,18,06/13,111571,2019/06/19 14:00:10
