,title,vol,update,number,date
0,強襲魔女 501 部隊出動！,4,05/01,41883,2019/05/01 01:00:12
1,鑽石王牌 act2,5,04/30,161474,2019/05/01 01:00:12
2,星光王子 KING OF PRISM -Shiny Seven Stars-,3,04/30,9557,2019/05/01 01:00:12
3,八月的棒球甜心,4,04/29,88957,2019/05/01 01:00:12
4,進擊的巨人 第三季,13,04/29,3634819,2019/05/01 01:00:12
5,為什麼老師會在這裡！？,4,04/29,460610,2019/05/01 01:00:12
6,FAIRY TAIL 魔導少年 最終章,306,04/28,2218504,2019/05/01 01:00:12
7,一弦定音！,4,04/28,123308,2019/05/01 01:00:12
8,我們真的學不來！,4,04/28,304295,2019/05/01 01:00:12
9,鬼滅之刃,4,04/28,654365,2019/05/01 01:00:12
10,信長老師的年幼妻子,4,04/27,301065,2019/05/01 01:00:12
11,高中女生,4,04/27,157731,2019/05/01 01:00:12
12,超可動女孩 1/6,4,04/27,67456,2019/05/01 01:00:12
13,MIX,4,04/27,58623,2019/05/01 01:00:12
14,一個人的○○小日子,4,04/27,199339,2019/05/01 01:00:12
15,滿腦都是○○的我沒辦法談戀愛,4,04/27,395024,2019/05/01 01:00:12
16,川柳少女,4,04/27,171958,2019/05/01 01:00:12
17,JOJO 的奇妙冒險 黃金之風,28,04/27,4915658,2019/05/01 01:00:12
18,魔法水果籃,3,04/27,50810,2019/05/01 01:00:12
19,戀愛幕末男友外傳-危機,4,04/26,7620,2019/05/01 01:00:12
20,Fight League 交鋒聯盟,11,04/25,70705,2019/05/01 01:00:12
21,一拳超人 (第二季),15,04/24,1188036,2019/05/01 01:00:12
