,title,vol,update,number,date
0,一拳超人 (第二季),20,05/29,3029344,2019/05/29 08:00:09
1,強襲魔女 501 部隊出動！,8,05/29,86064,2019/05/29 08:00:09
2,鑽石王牌 act2,9,05/28,364231,2019/05/29 08:00:09
3,星光王子 KING OF PRISM -Shiny Seven Stars-,7,05/28,27814,2019/05/29 08:00:09
4,進擊的巨人 第三季,17,05/27,4887086,2019/05/29 08:00:09
5,為什麼老師會在這裡！？,8,05/27,926835,2019/05/29 08:00:09
6,FAIRY TAIL 魔導少年 最終章,310,05/26,2538202,2019/05/29 08:00:09
7,一弦定音！,8,05/26,285729,2019/05/29 08:00:09
8,我們真的學不來！,8,05/26,629300,2019/05/29 08:00:09
9,鬼滅之刃,8,05/26,1685723,2019/05/29 08:00:09
10,信長老師的年幼妻子,8,05/25,655578,2019/05/29 08:00:09
11,高中女生,8,05/25,254091,2019/05/29 08:00:09
12,超可動女孩 1/6,8,05/25,133602,2019/05/29 08:00:09
13,MIX,8,05/25,122913,2019/05/29 08:00:09
14,一個人的○○小日子,8,05/25,403627,2019/05/29 08:00:09
15,滿腦都是○○的我沒辦法談戀愛,8,05/25,813763,2019/05/29 08:00:09
16,川柳少女,8,05/25,363999,2019/05/29 08:00:09
17,JOJO 的奇妙冒險 黃金之風,31,05/25,5593101,2019/05/29 08:00:09
18,魔法水果籃,7,05/25,145622,2019/05/29 08:00:09
19,戀愛幕末男友外傳-危機,8,05/24,16975,2019/05/29 08:00:09
20,Fight League 交鋒聯盟,15,05/23,91995,2019/05/29 08:00:09
21,八月的棒球甜心,7,05/20,145994,2019/05/29 08:00:09
