,title,vol,update,number,date
0,一拳超人 (第二季),23,06/26,4700406,2019/06/27 05:00:28
1,強襲魔女 501 部隊出動！,12,06/26,136488,2019/06/27 05:00:28
2,鑽石王牌 act2,13,06/25,601110,2019/06/27 05:00:28
3,劇場版 夏目友人帳～緣結空蟬～,電影1,06/25,13488,2019/06/27 05:00:28
4,星光王子 KING OF PRISM -Shiny Seven Stars-,11,06/25,55165,2019/06/27 05:00:28
5,進擊的巨人 第三季,21,06/24,6516569,2019/06/27 05:00:28
6,八月的棒球甜心,10,06/24,186063,2019/06/27 05:00:28
7,為什麼老師會在這裡！？,12,06/24,1378974,2019/06/27 05:00:28
8,FAIRY TAIL 魔導少年 最終章,314,06/23,2874489,2019/06/27 05:00:28
9,一弦定音！,12,06/23,481249,2019/06/27 05:00:28
10,我們真的學不來！,12,06/23,1052132,2019/06/27 05:00:28
11,鬼滅之刃,12,06/23,3057716,2019/06/27 05:00:28
12,信長老師的年幼妻子,12,06/22,1028316,2019/06/27 05:00:28
13,高中女生,12,06/22,329717,2019/06/27 05:00:28
14,超可動女孩 1/6,12,06/22,188924,2019/06/27 05:00:28
15,MIX,12,06/22,192139,2019/06/27 05:00:28
16,一個人的○○小日子,12,06/22,613593,2019/06/27 05:00:28
17,滿腦都是○○的我沒辦法談戀愛,12,06/22,1316372,2019/06/27 05:00:28
18,川柳少女,12,06/22,561447,2019/06/27 05:00:28
19,JOJO 的奇妙冒險 黃金之風,35,06/22,6472881,2019/06/27 05:00:28
20,魔法水果籃,11,06/22,269901,2019/06/27 05:00:28
21,戀愛幕末男友外傳-危機,12,06/21,24854,2019/06/27 05:00:28
22,Fight League 交鋒聯盟,19,06/20,121217,2019/06/27 05:00:28
