,title,vol,update,number,date
0,一拳超人 (第二季),14,04/17,447558,2019/04/18 13:00:24
1,強襲魔女 501 部隊出動！,2,04/17,19798,2019/04/18 13:00:24
2,鑽石王牌 act2,3,04/16,83205,2019/04/18 13:00:24
3,星光王子 KING OF PRISM -Shiny Seven Stars-,1,04/16,1481,2019/04/18 13:00:24
4,八月的棒球甜心,2,04/15,48587,2019/04/18 13:00:24
5,為什麼老師會在這裡！？,2,04/15,213935,2019/04/18 13:00:24
6,FAIRY TAIL 魔導少年 最終章,304,04/14,2072587,2019/04/18 13:00:24
7,一弦定音！,2,04/14,54968,2019/04/18 13:00:24
8,我們真的學不來！,2,04/14,143444,2019/04/18 13:00:24
9,鬼滅之刃,2,04/14,278848,2019/04/18 13:00:24
10,信長老師的年幼妻子,2,04/13,116477,2019/04/18 13:00:24
11,高中女生,2,04/13,90984,2019/04/18 13:00:24
12,超可動女孩 1/6,2,04/13,33427,2019/04/18 13:00:24
13,MIX,2,04/13,30258,2019/04/18 13:00:24
14,一個人的○○小日子,2,04/13,103994,2019/04/18 13:00:24
15,滿腦都是○○的我沒辦法談戀愛,2,04/13,199408,2019/04/18 13:00:24
16,川柳少女,2,04/13,84506,2019/04/18 13:00:24
17,JOJO 的奇妙冒險 黃金之風,26,04/13,4531511,2019/04/18 13:00:24
18,魔法水果籃,1,04/13,13668,2019/04/18 13:00:24
19,戀愛幕末男友外傳-危機,2,04/12,3984,2019/04/18 13:00:24
20,Fight League 交鋒聯盟,9,04/11,61490,2019/04/18 13:00:24
