,title,vol,update,number,date
0,八月的棒球甜心,2,04/15,33807,2019/04/16 01:00:01
1,為什麼老師會在這裡！？,2,04/15,134307,2019/04/16 01:00:01
2,FAIRY TAIL 魔導少年 最終章,304,04/14,2053428,2019/04/16 01:00:01
3,一弦定音！,2,04/14,44242,2019/04/16 01:00:01
4,我們真的學不來！,2,04/14,123383,2019/04/16 01:00:01
5,鬼滅之刃,2,04/14,231971,2019/04/16 01:00:01
6,信長老師的年幼妻子,2,04/13,97417,2019/04/16 01:00:01
7,高中女生,2,04/13,81924,2019/04/16 01:00:01
8,超可動女孩 1/6,2,04/13,29134,2019/04/16 01:00:01
9,MIX,2,04/13,27259,2019/04/16 01:00:01
10,一個人的○○小日子,2,04/13,95214,2019/04/16 01:00:01
11,滿腦都是○○的我沒辦法談戀愛,2,04/13,176457,2019/04/16 01:00:01
12,川柳少女,2,04/13,77302,2019/04/16 01:00:01
13,JOJO 的奇妙冒險 黃金之風,26,04/13,4495738,2019/04/16 01:00:01
14,魔法水果籃,1,04/13,10700,2019/04/16 01:00:01
15,戀愛幕末男友外傳-危機,2,04/12,3673,2019/04/16 01:00:01
16,Fight League 交鋒聯盟,9,04/11,60620,2019/04/16 01:00:01
17,一拳超人 (第二季),13,04/10,429177,2019/04/16 01:00:01
18,強襲魔女 501 部隊出動！,1,04/10,18804,2019/04/16 01:00:01
19,鑽石王牌 act2,2,04/09,68449,2019/04/16 01:00:01
