,title,vol,update,number,date
0,強襲魔女 501 部隊出動！,9,06/05,97379,2019/06/05 08:00:10
1,鑽石王牌 act2,10,06/04,417221,2019/06/05 08:00:10
2,星光王子 KING OF PRISM -Shiny Seven Stars-,8,06/04,33162,2019/06/05 08:00:10
3,進擊的巨人 第三季,18,06/03,5289549,2019/06/05 08:00:10
4,為什麼老師會在這裡！？,9,06/03,1042176,2019/06/05 08:00:10
5,FAIRY TAIL 魔導少年 最終章,311,06/02,2625856,2019/06/05 08:00:10
6,一弦定音！,9,06/02,332905,2019/06/05 08:00:10
7,我們真的學不來！,9,06/02,724669,2019/06/05 08:00:10
8,鬼滅之刃,9,06/02,1985732,2019/06/05 08:00:10
9,信長老師的年幼妻子,9,06/01,747407,2019/06/05 08:00:10
10,高中女生,9,06/01,275091,2019/06/05 08:00:10
11,超可動女孩 1/6,9,06/01,147763,2019/06/05 08:00:10
12,MIX,9,06/01,140158,2019/06/05 08:00:10
13,一個人的○○小日子,9,06/01,455479,2019/06/05 08:00:10
14,滿腦都是○○的我沒辦法談戀愛,9,06/01,959891,2019/06/05 08:00:10
15,川柳少女,9,06/01,414232,2019/06/05 08:00:10
16,JOJO 的奇妙冒險 黃金之風,32,06/01,5783396,2019/06/05 08:00:10
17,魔法水果籃,8,06/01,172303,2019/06/05 08:00:10
18,戀愛幕末男友外傳-危機,9,05/31,18584,2019/06/05 08:00:10
19,Fight League 交鋒聯盟,16,05/30,96132,2019/06/05 08:00:10
20,一拳超人 (第二季),20,05/29,3534864,2019/06/05 08:00:10
21,八月的棒球甜心,7,05/20,149476,2019/06/05 08:00:10
