,title,vol,update,number,date
0,一個人的○○小日子,2,04/13,58763,2019/04/13 17:00:01
1,滿腦都是○○的我沒辦法談戀愛,2,04/13,97313,2019/04/13 17:00:01
2,川柳少女,2,04/13,45798,2019/04/13 17:00:01
3,JOJO 的奇妙冒險 黃金之風,26,04/13,4365168,2019/04/13 17:00:01
4,魔法水果籃,1,04/13,統計中,2019/04/13 17:00:01
5,戀愛幕末男友外傳-危機,2,04/12,3050,2019/04/13 17:00:01
6,Fight League 交鋒聯盟,9,04/11,59030,2019/04/13 17:00:01
7,一拳超人 (第二季),13,04/10,384467,2019/04/13 17:00:01
8,強襲魔女 501 部隊出動！,1,04/10,16620,2019/04/13 17:00:01
9,鑽石王牌 act2,2,04/09,62253,2019/04/13 17:00:01
10,八月的棒球甜心,1,04/08,31397,2019/04/13 17:00:01
11,為什麼老師會在這裡！？,1,04/08,115030,2019/04/13 17:00:01
12,逆轉裁判 第二季,23,04/08,227541,2019/04/13 17:00:01
13,FAIRY TAIL 魔導少年 最終章,303,04/07,2006674,2019/04/13 17:00:01
14,一弦定音！,1,04/07,24214,2019/04/13 17:00:01
15,我們真的學不來！,1,04/07,75346,2019/04/13 17:00:01
16,鬼滅之刃,1,04/07,122905,2019/04/13 17:00:01
17,信長老師的年幼妻子,1,04/06,55361,2019/04/13 17:00:01
18,高中女生,1,04/06,57449,2019/04/13 17:00:01
19,超可動女孩 1/6,1,04/06,19030,2019/04/13 17:00:01
20,MIX,1,04/06,18071,2019/04/13 17:00:01
21,家有女友,12,04/06,984687,2019/04/13 17:00:01
22,魔法禁書目錄 Ⅲ,26,04/05,1834966,2019/04/13 17:00:01
23,不愉快的妖怪庵 續,13,04/02,262806,2019/04/13 17:00:01
24,動物朋友 2,12,04/02,130341,2019/04/13 17:00:01
25,隊長小翼,52,04/02,1412603,2019/04/13 17:00:01
26,路人超能 100 第二季,13,04/01,2401103,2019/04/13 17:00:01
27,荒野的壽飛行隊,12,03/31,418176,2019/04/13 17:00:01
28,約會大作戰 DATE A LIVE 第三季,12,03/31,1072873,2019/04/13 17:00:01
29,ENDRO！,12,03/31,467242,2019/04/13 17:00:01
30,刀劍神域 Alicization,24,03/31,7375497,2019/04/13 17:00:01
31,輝夜姬想讓人告白～天才們的戀愛頭腦戰～,12,03/31,3464951,2019/04/13 17:00:01
