,title,vol,update,number,date
0,一個人的○○小日子,4,04/27,159001,2019/04/27 16:00:36
1,滿腦都是○○的我沒辦法談戀愛,4,04/27,319429,2019/04/27 16:00:36
2,川柳少女,4,04/27,136951,2019/04/27 16:00:36
3,JOJO 的奇妙冒險 黃金之風,28,04/27,4769261,2019/04/27 16:00:36
4,魔法水果籃,3,04/27,36481,2019/04/27 16:00:36
5,戀愛幕末男友外傳-危機,4,04/26,6860,2019/04/27 16:00:36
6,Fight League 交鋒聯盟,11,04/25,69497,2019/04/27 16:00:36
7,一拳超人 (第二季),15,04/24,1074131,2019/04/27 16:00:36
8,強襲魔女 501 部隊出動！,3,04/24,39585,2019/04/27 16:00:36
9,鑽石王牌 act2,4,04/23,151512,2019/04/27 16:00:36
10,星光王子 KING OF PRISM -Shiny Seven Stars-,2,04/23,8421,2019/04/27 16:00:36
11,八月的棒球甜心,3,04/22,77418,2019/04/27 16:00:36
12,為什麼老師會在這裡！？,3,04/22,386828,2019/04/27 16:00:36
13,FAIRY TAIL 魔導少年 最終章,305,04/21,2160686,2019/04/27 16:00:36
14,一弦定音！,3,04/21,97524,2019/04/27 16:00:36
15,我們真的學不來！,3,04/21,240610,2019/04/27 16:00:36
16,鬼滅之刃,3,04/21,501185,2019/04/27 16:00:36
17,信長老師的年幼妻子,3,04/20,213093,2019/04/27 16:00:36
18,高中女生,3,04/20,134362,2019/04/27 16:00:36
19,超可動女孩 1/6,3,04/20,55377,2019/04/27 16:00:36
20,MIX,3,04/20,48189,2019/04/27 16:00:36
