,number,title,update,vol,date
0,18071,MIX,04/13,2,2019/04/13 21:00:23
1,58763,一個人的○○小日子,04/13,2,2019/04/13 21:00:23
2,97313,滿腦都是○○的我沒辦法談戀愛,04/13,2,2019/04/13 21:00:23
3,45798,川柳少女,04/13,2,2019/04/13 21:00:23
4,4365168,JOJO 的奇妙冒險 黃金之風,04/13,26,2019/04/13 21:00:23
5,統計中,魔法水果籃,04/13,1,2019/04/13 21:00:23
6,3050,戀愛幕末男友外傳-危機,04/12,2,2019/04/13 21:00:23
7,59030,Fight League 交鋒聯盟,04/11,9,2019/04/13 21:00:23
8,384467,一拳超人 (第二季),04/10,13,2019/04/13 21:00:23
9,16620,強襲魔女 501 部隊出動！,04/10,1,2019/04/13 21:00:23
10,62253,鑽石王牌 act2,04/09,2,2019/04/13 21:00:23
11,31397,八月的棒球甜心,04/08,1,2019/04/13 21:00:23
12,115030,為什麼老師會在這裡！？,04/08,1,2019/04/13 21:00:23
13,227541,逆轉裁判 第二季,04/08,23,2019/04/13 21:00:23
14,2006674,FAIRY TAIL 魔導少年 最終章,04/07,303,2019/04/13 21:00:23
15,24214,一弦定音！,04/07,1,2019/04/13 21:00:23
16,75346,我們真的學不來！,04/07,1,2019/04/13 21:00:23
17,122905,鬼滅之刃,04/07,1,2019/04/13 21:00:23
18,55361,信長老師的年幼妻子,04/06,1,2019/04/13 21:00:23
19,57449,高中女生,04/06,1,2019/04/13 21:00:23
20,19030,超可動女孩 1/6,04/06,1,2019/04/13 21:00:23
21,984687,家有女友,04/06,12,2019/04/13 21:00:23
22,1834966,魔法禁書目錄 Ⅲ,04/05,26,2019/04/13 21:00:23
23,262806,不愉快的妖怪庵 續,04/02,13,2019/04/13 21:00:23
24,130341,動物朋友 2,04/02,12,2019/04/13 21:00:23
25,1412603,隊長小翼,04/02,52,2019/04/13 21:00:23
26,2401103,路人超能 100 第二季,04/01,13,2019/04/13 21:00:23
27,418176,荒野的壽飛行隊,03/31,12,2019/04/13 21:00:23
28,1072873,約會大作戰 DATE A LIVE 第三季,03/31,12,2019/04/13 21:00:23
29,467242,ENDRO！,03/31,12,2019/04/13 21:00:23
30,7375497,刀劍神域 Alicization,03/31,24,2019/04/13 21:00:23
31,3464951,輝夜姬想讓人告白～天才們的戀愛頭腦戰～,03/31,12,2019/04/13 21:00:23
