,title,vol,update,number,date
0,一個人的○○小日子,13,04/2,57030,2019/04/13 12:00:06
1,滿腦都是○○的我沒辦法談戀愛,13,04/2,93242,2019/04/13 12:00:06
2,川柳少女,13,04/2,43864,2019/04/13 12:00:06
3,JOJO 的奇妙冒險 黃金之風,13,04/26,4354109,2019/04/13 12:00:06
4,魔法水果籃,13,04/1,統計中,2019/04/13 12:00:06
5,戀愛幕末男友外傳-危機,12,04/2,2149,2019/04/13 12:00:06
6,Fight League 交鋒聯盟,11,04/9,57250,2019/04/13 12:00:06
7,一拳超人 (第二季),10,04/13,356899,2019/04/13 12:00:06
8,強襲魔女 501 部隊出動！,10,04/1,14948,2019/04/13 12:00:06
9,鑽石王牌 act2,09,04/2,58901,2019/04/13 12:00:06
10,八月的棒球甜心,08,04/1,29889,2019/04/13 12:00:06
11,為什麼老師會在這裡！？,08,04/1,105237,2019/04/13 12:00:06
12,逆轉裁判 第二季,08,04/23,226676,2019/04/13 12:00:06
13,FAIRY TAIL 魔導少年 最終章,07,04/303,2003089,2019/04/13 12:00:06
14,一弦定音！,07,04/1,23035,2019/04/13 12:00:06
15,我們真的學不來！,07,04/1,72243,2019/04/13 12:00:06
16,鬼滅之刃,07,04/1,115495,2019/04/13 12:00:06
17,信長老師的年幼妻子,06,04/1,52799,2019/04/13 12:00:06
18,高中女生,06,04/1,54951,2019/04/13 12:00:06
19,超可動女孩 1/6,06,04/1,18375,2019/04/13 12:00:06
20,MIX,06,04/1,17336,2019/04/13 12:00:06
21,家有女友,06,04/12,977440,2019/04/13 12:00:06
22,魔法禁書目錄 Ⅲ,05,04/26,1830356,2019/04/13 12:00:06
23,不愉快的妖怪庵 續,02,04/13,261513,2019/04/13 12:00:06
24,動物朋友 2,02,04/12,129657,2019/04/13 12:00:06
25,隊長小翼,02,04/52,1411674,2019/04/13 12:00:06
26,路人超能 100 第二季,01,04/13,2391051,2019/04/13 12:00:06
27,荒野的壽飛行隊,31,03/12,416532,2019/04/13 12:00:06
28,約會大作戰 DATE A LIVE 第三季,31,03/12,1068832,2019/04/13 12:00:06
29,ENDRO！,31,03/12,465865,2019/04/13 12:00:06
30,刀劍神域 Alicization,31,03/24,7364313,2019/04/13 12:00:06
31,輝夜姬想讓人告白～天才們的戀愛頭腦戰～,31,03/12,3450913,2019/04/13 12:00:06
